【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【净资产收益率(％)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
-0.317	5.686	5.351	-5.579	43.015	-0.2032	-12.63	-18.84	16.06	-10.73	-4.87	-241.69	1.48	0.53	8.62	0.59	53.77
-0.122	0.039	-2.51	-312.09	0.781	-3.5537	-13.2	72.35	-15.92	-3.4	-86.88	10.04	0.7	0.61	0.04	0.12	99.32
0.012	1.822	1.87	0.663	67.387	0.0306	-18.83	-29.82	9.21	19.73	1.35	-47.59	1.94	1.46	2.14	1.01	32.61
0.063	1.802	1.743	3.47	81.771	0.0091	-12.89	16.66	19.68	-5.92	13.18	-1.79	2.08	1.89	1.27	3.57	18.23
0.006	1.063	0.971	0.538	63.911	-0.5582	-26.61	-256.03	-5.02	-1.99	-2.56	-56.22	1.28	0.92	1.13	0.63	36.09
0.068	2.86	2.83	2.37	48.088	0	-3.37	-14.16	36.49	6.39	0.43	-34.47	0.65	0.61	2.69	8.88	43.93
0.147	4.63	0	3.17	41.844	0.6647	6.95	-11.26	14.97	11.15	4.12	-19.06	1.39	0.6	4.73	0.93	52.25
-0.05	0.42	0.2	-12.42	12.418	-1.5797	-28.61	-10.31	25.44	-7.31	-33.31	86.16	0.49	0.39	0.54	0.55	86.89
0.067	2.42	2.32	2.76	79.269	0.139	-11.41	-18.51	37.52	-3.63	2.75	124.41	4.2	2.9	1.15	0.37	2140000
0.182	1.305	1.13	13.95	31.981	0.1082	1448.03	1221.84	29.07	105.56	6.72	175.28	1.11	0.77	18.99	4.13	66.91
0.005	1.59	1.233	0.301	40.172	-0.3467	-14.2	-28.85	30.84	-6.56	4.51	-73.81	1.35	0.38	1.86	0.08	61.15
-0.052	0.261	-0.307	-19.786	5.185	-2.4365	-25.67	-22.44	13.51	-7.04	627.45	68.57	0.77	0.6	0.94	1.06	91.05
0.18	1.78	1.69	9.94	68.435	0.1776	20.64	40.6	24.59	37.26	50.19	14.81	1.45	1.31	3.84	4.33	31.57
